time,a0,a2,a3,a4,a5,a6,
20:00:27,18.71,18.71,28.98,28.98,18.80,18.80,
20:00:27,18.71,18.71,24.08,26.53,18.80,18.80,
20:00:28,18.71,18.71,25.22,26.09,18.80,18.80,
20:00:28,18.71,18.71,24.08,25.59,18.80,18.80,
20:00:29,18.71,18.71,22.86,25.04,18.80,18.80,
20:00:29,18.71,18.71,24.52,24.96,18.80,18.80,
20:00:30,18.71,18.71,23.29,24.72,18.80,18.80,
20:00:30,18.71,18.71,23.29,24.54,18.80,18.80,
20:00:31,18.71,18.71,24.60,24.55,18.80,18.80,
20:00:31,18.71,18.71,22.25,24.32,18.80,18.80,
20:00:32,18.80,18.72,24.08,24.30,18.80,18.80,
20:00:32,18.71,18.72,24.43,24.31,18.80,18.80,
20:00:33,18.71,18.72,21.73,24.11,18.80,18.80,
20:00:33,18.80,18.72,24.69,24.15,18.80,18.80,
20:00:34,18.71,18.72,24.17,24.15,18.80,18.80,
20:00:34,18.71,18.72,21.82,24.01,18.88,18.80,
20:00:35,18.71,18.72,24.78,24.05,18.80,18.80,
20:00:35,18.71,18.72,23.64,24.03,18.80,18.80,
20:00:36,18.80,18.73,22.42,23.94,18.80,18.80,
20:00:36,18.80,18.73,24.69,23.98,18.80,18.80,
20:00:37,18.71,18.73,22.94,23.93,18.88,18.81,
20:00:37,18.80,18.73,23.47,23.91,18.80,18.81,
20:00:38,18.71,18.73,24.60,23.94,18.80,18.81,
20:00:38,18.71,18.73,22.16,23.87,18.80,18.81,
20:00:39,18.71,18.73,24.08,23.88,18.88,18.81,
20:00:39,18.71,18.73,24.34,23.89,18.88,18.81,
20:00:40,18.80,18.73,21.64,23.81,18.88,18.81,
20:00:40,18.80,18.73,24.69,23.84,18.80,18.81,
20:00:41,18.71,18.73,24.08,23.85,18.80,18.81,
20:00:41,18.71,18.73,21.82,23.78,18.88,18.82,
20:00:42,18.80,18.73,24.69,23.81,18.80,18.82,
20:00:43,18.71,18.73,23.55,23.80,18.88,18.82,
20:00:43,18.71,18.73,22.77,23.77,18.88,18.82,
20:00:44,18.71,18.73,24.34,23.79,18.80,18.82,
20:00:44,18.71,18.73,22.86,23.76,18.88,18.82,
20:00:45,18.71,18.73,23.64,23.76,18.80,18.82,
20:00:45,18.71,18.73,24.17,23.77,18.88,18.82,
20:00:46,18.71,18.73,22.25,23.73,18.88,18.82,
