date,time,54,55,56,57,58,61,62,63,64,65,66,67,68,69
01:32:54,2,nan,nan,nan,nan,nan,nan,1.12,nan,nan,24.35,21.53,20.31,5.55,21.55
01:33:55,3,nan,nan,nan,nan,nan,nan,1.16,nan,nan,41.55,21.52,20.31,5.50,21.56
01:34:55,4,nan,nan,nan,nan,nan,nan,1.67,nan,nan,39.73,21.51,20.31,5.43,21.55
01:35:56,5,nan,nan,nan,nan,nan,nan,1.91,nan,nan,24.32,21.51,20.29,5.45,21.54
01:36:57,6,nan,nan,nan,nan,nan,nan,2.58,nan,nan,21.25,21.51,20.27,5.06,21.50
01:37:57,7,nan,nan,nan,nan,nan,nan,2.78,nan,nan,21.25,21.50,20.27,5.30,21.49
01:38:58,8,nan,nan,nan,nan,nan,nan,1.76,nan,nan,21.25,21.49,20.27,5.22,21.51
01:39:59,9,nan,nan,nan,nan,nan,nan,1.98,nan,nan,21.25,21.50,20.28,5.22,21.50
01:40:59,10,nan,nan,nan,nan,nan,nan,2.66,nan,nan,21.25,21.48,20.29,5.42,21.51
01:42:00,11,nan,nan,nan,nan,nan,nan,3.00,nan,nan,21.25,21.48,20.26,5.30,21.52
01:43:00,12,nan,nan,nan,nan,nan,nan,2.80,nan,nan,21.24,21.47,20.24,5.11,21.54
01:44:01,13,nan,nan,nan,nan,nan,nan,2.76,nan,nan,21.22,21.48,20.20,4.75,21.53
01:45:02,14,nan,nan,nan,nan,nan,nan,1.38,nan,nan,21.21,21.46,20.17,4.80,21.51
01:46:02,15,nan,nan,nan,nan,nan,nan,2.57,nan,nan,21.21,21.45,20.18,4.41,21.50
01:47:03,16,nan,nan,nan,nan,nan,nan,1.92,nan,nan,21.19,21.45,20.19,4.92,21.56
01:48:04,17,nan,nan,nan,nan,nan,nan,1.51,nan,nan,21.13,21.45,20.21,4.73,21.56
01:49:04,18,nan,nan,nan,nan,nan,nan,1.79,nan,nan,21.06,21.43,20.22,5.02,21.54
01:50:05,19,nan,nan,nan,nan,nan,nan,1.25,nan,nan,21.03,21.43,20.22,5.15,21.53
01:51:05,20,nan,nan,nan,nan,nan,nan,1.01,nan,nan,21.07,21.42,20.24,4.84,21.49
01:52:06,21,nan,nan,nan,nan,nan,nan,2.00,nan,nan,21.07,21.41,20.26,5.28,21.49
01:53:07,22,nan,nan,nan,nan,nan,nan,1.86,nan,nan,21.37,21.41,20.25,5.28,21.53
01:54:07,23,nan,nan,nan,nan,nan,nan,2.02,nan,nan,21.47,21.40,20.24,5.52,21.56
